MatchTime;UT2004Time;Health;Armor;Adrenaline;Score;Deaths;Suicides;Killed;WasKilled;NumKillsWithoutDeath;Team;TeamScore;ItemsCollect;WeaponsCollect;AmmoCollect;HealthCollect;ArmorCollect;ShieldCollect;AdrenalineCollect;OtherCollect;TimeMoving;TimeShooting;DoubleDamageCount;DoubleDamageTime;TraveledDistance;Combo;HasDoubleDamage;IsShooting;Velocity;Location_x;Location_y;Location_z;Onslaught_ONSAVRiLPickup_TimeUsed;XWeapons_SniperRiflePickup_TimeUsed;XWeapons_BioRiflePickup_TimeUsed;XWeapons_ShockRiflePickup_TimeUsed;XWeapons_TransPickup_TimeUsed;Onslaught_ONSMineLayerPickup_TimeUsed;XWeapons_LinkGunPickup_TimeUsed;Onslaught_ONSGrenadePickup_TimeUsed;XWeapons_FlakCannonPickup_TimeUsed;UTClassic_ClassicSniperRiflePickup_TimeUsed;XWeapons_MinigunPickup_TimeUsed;XWeapons_SuperShockRiflePickup_TimeUsed;OnslaughtFull_ONSPainterPickup_TimeUsed;XWeapons_AssaultRiflePickup_TimeUsed;XWeapons_PainterPickup_TimeUsed;XWeapons_ShieldGunPickup_TimeUsed;XWeapons_RedeemerPickup_TimeUsed;XWeapons_RocketLauncherPickup_TimeUsed;Event;EventParams...
2,770;15,800;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,020;0,000;0;0,000;826,343;None;0;0;470,832;1396,020;10877,360;-3063,120;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;FLAG_PICKEDUP;0;
2,770;15,800;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,280;0,000;0;0,000;945,543;None;0;0;470,832;1396,020;10877,360;-3063,120;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
3,020;16,050;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,280;0,000;0;0,000;945,543;None;0;1;558,872;1394,750;10995,770;-3110,830;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;FLAG_PICKEDUP;1;CTF-1on1-Joust.ObservedRemoteBot1
3,020;16,050;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,530;0,250;0;0,000;1073,210;None;0;1;558,872;1394,750;10995,770;-3110,830;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,250;0,000;0,000;0,000;0,000
3,280;16,310;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,790;0,250;0;0,000;1210,542;None;0;0;110,276;1393,610;11101,760;-3198,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,250;0,000;0,000;0,000;0,000
3,530;16,560;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,040;0,250;0;0,000;1256,258;None;0;0;385,879;1357,060;11074,300;-3198,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,250;0,000;0,000;0,000;0,000
3,790;16,820;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,300;0,510;0;0,000;1357,740;None;0;1;194,106;1257,420;11055,050;-3198,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,510;0,000;0,000;0,000;0,000
4,040;17,070;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,550;0,760;0;0,000;1438,817;None;0;1;439,998;1321,950;11006,840;-3188,870;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,760;0,000;0,000;0,000;0,000
4,290;17,320;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,550;1,010;0;0,000;1511,085;None;0;1;0,000;1388,010;10978,110;-3183,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,010;0,000;0,000;0,000;0,000
4,550;17,580;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,810;1,270;0;0,000;1513,785;None;0;1;74,340;1385,310;10978,100;-3183,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,270;0,000;0,000;0,000;0,000
4,800;17,830;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,060;1,520;0;0,000;1600,788;None;0;1;440,002;1299,610;10977,830;-3198,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,520;0,000;0,000;0,000;0,000
5,060;18,090;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,320;1,780;0;0,000;1602,536;None;0;1;31,188;1301,070;10976,870;-3198,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,780;0,000;0,000;0,000;0,000
5,310;18,340;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,570;2,030;0;0,000;1603,623;None;0;1;222,078;1302,030;10976,360;-3198,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;2,030;0,000;0,000;0,000;0,000
5,570;18,600;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,570;2,290;0;0,000;1685,303;None;0;1;0,000;1382,320;10975,940;-3183,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;2,290;0,000;0,000;0,000;0,000
5,820;18,850;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,820;2,540;0;0,000;1688,003;None;0;1;74,340;1379,620;10975,940;-3183,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;2,540;0,000;0,000;0,000;0,000
6,080;19,110;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,080;2,800;0;0,000;1700,213;None;0;1;201,930;1367,410;10975,910;-3183,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;2,800;0,000;0,000;0,000;0,000
6,340;19,370;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,340;3,060;0;0,000;1717,343;None;0;1;48,690;1350,280;10975,870;-3183,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;3,060;0,000;0,000;0,000;0,000
6,590;19,620;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,590;3,310;0;0,000;1820,648;None;0;1;737,221;1447,200;11007,880;-3167,170;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;3,310;0,000;0,000;0,000;0,000
6,840;19,870;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,840;3,560;0;0,000;1928,812;None;0;1;147,753;1544,040;11055,600;-3173,820;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;3,560;0,000;0,000;0,000;0,000
7,100;20,130;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,100;3,820;0;0,000;1963,992;None;0;1;295,571;1519,540;11048,680;-3198,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;3,820;0,000;0,000;0,000;0,000
7,350;20,380;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,350;4,070;0;0,000;2074,208;None;0;1;440,001;1424,660;10994,640;-3183,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;4,070;0,000;0,000;0,000;0,000
7,350;20,380;11;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6,350;4,070;0;0,000;2074,208;None;0;1;440,001;1424,660;10994,640;-3183,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;4,070;0,000;0,000;0,000;0,000;BOT_KILLED;CTF-1on1-Joust.GBxBot2;XWeapons.DamTypeRocket
7,610;20,640;100;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6,350;4,070;0;0,000;2074,208;None;0;0;0,000;1405,890;9955,620;-3193,950;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;4,070;0,000;0,000;0,000;0,000;FLAG_DROPPED;1;None
7,610;20,640;100;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6,350;4,070;0;0,000;2074,208;None;0;0;0,000;1405,890;9955,620;-3193,950;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;4,070;0,000;0,000;0,000;0,000
7,870;20,900;100;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6,610;4,070;0;0,000;2114,680;None;0;0;371,681;1405,460;9996,090;-3193,950;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;4,070;0,000;0,000;0,000;0,000
